id,bedrooms,sqft_living,floors,condition,yr_built,yr_renovated,zipcode,price
7129300520,3,1180,1,3,1955,0,98178,221900
6414100192,3,2570,2,3,1951,1991,98125,538000
5631500400,2,770,1,3,1933,0,98028,180000
2487200875,4,1960,1,5,1965,0,98136,604000
1954400510,3,1680,1,3,1987,0,98074,510000
7237550310,4,5420,1,3,2001,0,98053,229500
1321400060,3,1715,2,3,1995,0,98003,257500
2008000270,3,1060,1,3,1963,0,98198,291850
2414600126,3,1780,1,3,1960,0,98146,229500
3793500160,3,1890,2,3,2003,0,98038,323000
1736800520,3,3560,1,3,1965,0,98007,662500
9212900260,2,1160,1,4,1942,0,98115,468000
114101516,3,1430,1.5,4,1927,0,98028,310000
6054650070,3,1370,1,4,1977,0,98074,400000
1175000570,5,1810,1.5,3,1900,0,98107,530000
9297300055,4,2950,2,3,1979,0,98126,650000
1875500060,3,1890,2,3,1994,0,98019,395000
6865200140,4,1600,1.5,4,1916,0,98103,485000
16000397,2,1200,1,4,1921,0,98002,189000
7983200060,3,1250,1,4,1969,0,98003,230000
6300500875,4,1620,1,4,1947,0,98133,385000
2524049179,3,3050,1,3,1968,0,98040,2.00E+06
7137970340,5,2270,2,3,1995,0,98092,285000
8091400200,2,1070,1,3,1985,0,98030,252700
3814700200,3,2450,2,4,1985,0,98030,329000
1202000200,3,1710,1.5,5,1941,0,98002,233000
1794500383,3,2450,2,3,1915,0,98119,937000
3303700376,3,1400,1.5,5,1909,0,98112,667000
5101402488,3,1520,1,3,1948,0,98115,438000
1873100390,4,2570,2,3,2005,0,98052,719000
8562750320,3,2320,2,3,2003,0,98027,580500
2426039314,2,1190,3,3,2005,0,98133,280000
461000390,4,2330,1.5,4,1929,0,98117,687500
7589200193,3,1090,1.5,4,1929,0,98117,535000
7955080270,4,2060,1,3,1981,0,98058,322500
9547205180,3,2300,1.5,3,1930,2002,98115,696000
9435300030,4,1660,1,1,1933,0,98052,550000
2768000400,4,2360,2,4,1904,0,98107,640000
7895500070,4,1220,1,2,1969,0,98001,240000
2078500320,4,2620,2,3,1996,0,98056,605000
5547700270,4,2570,2,3,2000,0,98074,625000
7766200013,4,4220,1,3,1984,0,98166,775000
7203220400,5,3595,2,3,2014,0,98053,861990
9270200160,3,1570,2,3,1922,0,98119,685000
1432701230,3,1280,1,4,1959,0,98058,309000
8035350320,3,3160,2,3,2003,0,98019,488000
8945200830,3,990,1,3,1966,0,98023,210490
4178300310,4,2290,2,4,1981,0,98007,785000
9215400105,3,1250,1,4,1953,0,98115,450000
822039084,3,2753,1,5,1953,0,98070,1.35E+06
5245600105,3,1190,1,3,1955,0,98148,228000
7231300125,5,3150,1,4,1966,0,98056,345000
7518505990,3,1410,1,4,1950,0,98117,600000
3626039271,2,1980,1,3,1981,0,98117,585000
4217401195,5,2730,1.5,3,1927,0,98105,920000
9822700295,4,2830,2,3,1995,0,98105,885000
9478500640,4,2250,2,3,2008,0,98042,292500
2799800710,3,2420,2,3,2003,0,98042,301000
7922800400,5,3250,2,4,1968,0,98008,951000
8079040320,4,1850,2,3,1991,0,98059,430000
1516000055,3,2150,1,4,1959,0,98166,650000
9558200045,3,1260,1,3,1954,0,98148,289000
5072410070,3,2519,2,5,1973,0,98166,505000
9528102996,3,1540,3,3,2014,0,98115,549000
1189001180,3,1660,1,3,1979,0,98122,425000
3253500160,3,2770,1.5,5,1925,0,98144,317625
3394100030,4,2720,2,3,1989,0,98004,975000
3717000160,4,2240,2,3,2005,0,98001,287000
1274500060,3,1000,1,4,1968,0,98042,204000
1802000060,5,3200,1,3,1965,0,98004,1.33E+06
1525059190,5,4770,1,4,1973,0,98005,1.04E+06
1049000060,3,1260,1,4,1972,0,98034,325000
8820901275,4,2750,1.5,5,1916,0,98125,571000
5416510140,4,2380,2,3,2005,0,98038,360000
3444100400,3,1790,1,5,1965,0,98042,349000
3276920270,4,3430,2,4,1986,0,98075,832500
4036801170,4,1760,1,3,1956,0,98008,380000
2391600320,3,1040,1,3,1941,0,98116,480000
6300000287,3,1410,1,4,1956,0,98133,410000
1531000030,4,3450,2,3,2002,0,98010,720000
5104520400,3,2350,2,3,2003,0,98038,390000
7437100340,4,1900,2,3,1992,0,98038,360000
9418400240,2,2020,1,3,1948,0,98118,355000
1523059105,3,1680,1,3,1964,0,98059,356000
1133000671,3,960,1,3,1952,0,98125,315000
4232902595,3,2140,2,3,1925,0,98119,940000
2599001200,5,2660,1.5,5,1961,0,98092,305000
3342103156,3,2770,2,3,2006,0,98056,461000
1332700270,2,1610,2,4,1979,0,98056,215000
3869900162,2,1030,2,3,2006,0,98136,335000
2791500270,4,1980,2,3,1988,0,98023,243500
5036300431,5,3520,2,4,2001,0,98199,1.10E+06
4168000060,3,1200,1,3,1962,0,98023,153000
6021501535,3,1580,1,3,1939,0,98117,430000
6021501535,3,1580,1,3,1939,0,98117,700000
1483300570,4,3300,1,3,1946,1991,98040,905000
3422049190,3,1960,1,3,1967,0,98032,247500
1099611230,4,1160,1,4,1975,0,98023,199000
722079104,3,1810,1,5,1980,0,98038,314000
7338200240,3,2320,2,3,1992,0,98045,437500
1952200240,3,2070,1.5,5,1910,0,98102,850830
5200100125,3,1980,1.5,4,1929,0,98117,555000
7214720075,3,2190,2,4,1983,0,98077,699950
2450000295,3,2920,2,3,1950,2010,98004,1.09E+06
6197800045,3,1210,1,3,1954,0,98058,290000
1328310370,3,2340,1,4,1978,0,98058,375000
546000875,3,1670,1.5,4,1939,0,98117,460000
3530510041,2,1240,1,4,1985,0,98198,188500
1853000400,4,3140,2,4,1991,0,98077,680000
3134100116,5,2030,2,4,1942,0,98052,470000
9545230140,4,2310,2,3,1984,0,98027,597750
3362400511,3,1260,1,5,1905,0,98103,570000
2525310310,3,1540,1,4,1980,0,98038,272500
6126500060,3,2080,1,3,1971,0,98108,329950
8961960160,4,3230,2,3,2001,0,98001,480000
3626039325,3,4380,2,3,1900,1999,98117,740500
3362400431,3,1590,3,3,2010,0,98103,518500
4060000240,2,880,1,4,1945,0,98178,205425
3454800060,4,1570,1,3,1950,0,98168,171800
1695900060,4,1610,1.5,4,1925,0,98144,535000
7278700070,3,2400,1,3,1964,0,98177,660000
6675500070,3,1450,1,3,1987,0,98034,391500
3626039187,2,770,1,3,1953,0,98117,395000
3524049083,4,2100,1.5,5,1924,0,98118,445000
3275860240,3,2910,2,3,1990,0,98052,770000
